Rep,Plot,Clone,First Rust Rating,Canker
1,187,99239-015 ,0,0
1,188,10X-400-072,13,1
1,189,10X-400-009,40,0
1,190,05X-287-145,0,1?
1,191,10X-239-019,5,0
1,192,10X-400-075,8,0
1,193,10X-405-022,15,0
1,194,10X-400-047,19,1
1,195,01-200-009,0,0
1,196,10X-400-051,40,1
1,197,01-200-007,Dead ,0
1,198,10X-400-043,11,1
1,199,10X-400-002,8,1
1,200,10X-400-044,22,1
1,201,10X-405-014,14,0
1,202,10X-400-032,15,1
1,203,10X-405-018,10,1
1,204,10X-405-029,29,0
1,205,10X-400-039,30,0
1,206,02X-326-010,0,0
1,207,07X-357-114,0,0
1,208,10X-405-025,Dead ,0
1,209,10X-239-002,10,0
1,210,10X-239-007,12,0
1,211,10X-239-023,13,0
1,212,10X-400-019,9,0
1,213,05X-295-014,3,0
1,214,07X-356-011,0,0
1,215,01-200-010,0,0
1,216,10X-405-004,12,0
1,217,10X-400-038,18,1
1,218,10X-400-102,0,0
1,219,05X-287-089,0,0
1,220,10X-218-012,0,0
1,221,10X-400-017,7,1
1,222,07X-357-116,0,0
1,223,99202-011,0,0
1,224,99202-004 ,0,0
1,225,01-200-001,0,0
1,226,10X-400-080,13,1
1,227,05X-287-020,0,0
1,228,10X-218-007,0,0
1,229,06X-330-014 ,0,0
1,230,10X-400-024,10,1
1,231,10X-400-056,18,1
1,232,10X-400-057,5,1
1,233,10X-400-003,5,1
1,234,10X-405-024,8,1
1,235,07X-356-034,3,0
1,236,Terra Nova,0,0
1,237,05X-291-049,0,0
1,238,10X-400-098,14,0
1,239,07X-357-087,2,0
1,240,10X-400-061,38,0
1,241,10X-400-094,45,1
1,242,10X-400-021,33,0
1,243,10X-239-026,6,0
1,244,10X-239-027,23,0
1,245,10X-218-005,0,0
1,246,10X-239-024,20,0
1,247,06X-330-057 ,0,0
1,248,10X-400-099,18,1
1,249,10X-405-026,Dead ,0
1,250,10X-400-100,29,1
1,251,10X-405-032,Dead ,0
1,252,05X-287-148,0,0
1,253,06X-330-034 ,0,0
1,254,10X-218-009,0,0
1,255,07X-357-100,0,0
1,256,05X-287-212,0,0
1,257,10X-405-016,4,0
1,258,10X-218-006,0,0
1,259,10X-400-030,6,0
1,260,01X-268-015 ,0,0
1,261,10X-218-018,0,0
1,262,06X-330-021 ,0,0
1,263,07X-357-042,7,0
1,264,10X-218-004,0,0
1,265,10X-400-026,3,1
1,266,LA970253,0,0
1,267,10X-405-006,28,0
1,268,10X-405-030,1,0
1,269,10X-400-070,7,0
1,270,02X-326-015,0,0
1,271,05X-287-170,0,0
1,272,06X-330-105 ,0,0
1,273,10X-400-071,Dead ,0
1,274,10X-400-042,10,1
1,275,10X-239-034,11,0
1,276,10X-400-074,6,0
1,277,10X-239-017,0,0
1,278,9871-038,0,0
1,279,10X-400-090,Dead ,0
1,280,10X-400-029,25,1
